stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_street,stop_city,stop_region,stop_postcode
1304,MASSUCCONE MAZZINI 6/,,44.458118,8.896374,,,Via Antonietta Massuccone Mazzini,Genoa,Regione Liguria,16100
1305,MASSUCCONE MAZZINI 7/,,44.458321,8.897440,,,Via Antonietta Massuccone Mazzini,Genoa,Regione Liguria,16100
1307,BOLZANETO 3/PASTORINO,,44.459869,8.902117,,,Via Bolzaneto,Genoa,Regione Liguria,16100
1308,CUSTO/BOLZANETO FS,,44.459076,8.900468,,,Via Giovanni Battista Custo,Genoa,Regione Liguria,16100
1309,MASSUCCONE MAZZINI 1/,,44.458393,8.897423,,,Via Antonietta Massuccone Mazzini,Genoa,Regione Liguria,16100
1310,MASSUCCONE MAZZINI 2/,,44.458309,8.896157,,,Via Antonietta Massuccone Mazzini,Genoa,Regione Liguria,16100
1311,MASSUCCONE MAZZINI 4/,,44.458744,8.894740,,,Via Antonietta Massuccone Mazzini,Genoa,Regione Liguria,16100
1312,MASSUCCONE MAZZINI 5/,,44.458023,8.893318,,,Via Antonietta Massuccone Mazzini,Genoa,Regione Liguria,16100
1313,MASSUCCONE MAZZINI 6/SCUOLE,,44.457542,8.891452,,,Via Antonietta Massuccone Mazzini,Genoa,Regione Liguria,16100
1314,MASSUCCONE MAZZINI 7/MONFENERA,,44.456867,8.890015,,,Via Antonietta Massuccone Mazzini,Genoa,Regione Liguria,16100
1315,DOGE DA MURTA 1/,,44.459152,8.888913,,,Via Doge Giovanni Da Murta,Genoa,Regione Liguria,16100
1316,DOGE DA MURTA 2/ASILO,,44.458099,8.890195,,,Via Doge Giovanni Da Murta,Genoa,Regione Liguria,16100
1317,DOGE DA MURTA 3/,,44.460075,8.889843,,,Via Doge Giovanni Da Murta,Genoa,Regione Liguria,16100
1318,CHIODO/BACHERNIA,,44.418266,8.940694,,,Via Domenico Chiodo,Genoa,Regione Liguria,16100
1319,CHIODO 1/CAVALLO,,44.420246,8.938813,,,Via Domenico Chiodo,Genoa,Regione Liguria,16100
1320,CHIODO 2/PIAGGIO,,44.420712,8.937971,,,Via Domenico Chiodo,Genoa,Regione Liguria,16100
1321,PIAGGIO 1/SAN SIMONE,,44.421104,8.935972,,,Via Piaggio,Genoa,Regione Liguria,16100
1322,PIAGGIO 2/PREVE,,44.420162,8.933989,,,Via Piaggio,Genoa,Regione Liguria,16100
1323,PIAGGIO 3/,,44.420448,8.935372,,,Via Piaggio,Genoa,Regione Liguria,16100
1324,PIAGGIO 4/VILLA MARIA,,44.419739,8.934072,,,Via Piaggio,Genoa,Regione Liguria,16100
1325,PIAGGIO 5/MARCO POLO,,44.419147,8.933421,,,Via Piaggio,Genoa,Regione Liguria,16100
1328,CANCELLIERE 4/FERRARI,,44.417599,8.936694,,,Via Oberto Cancelliere,Genoa,Regione Liguria,16100
1329,CANCELLIERE 5/BARSANTI,,44.417156,8.936467,,,Via Oberto Cancelliere,Genoa,Regione Liguria,16100
1330,BARSANTI/PONTE CAFFARO,,44.416092,8.934907,,,Passo Caporale Pietro Barsanti,Genoa,Regione Liguria,16100
1331,VILLA/SPIANATA CASTELLETTO,,44.414192,8.933221,,,Piazza Goffredo Villa,Genoa,Regione Liguria,16100
1332,CASTELLETTO/SPIANATA,,44.413471,8.933185,,,Spianata di Castelletto,Genoa,Regione Liguria,16100
1333,ACQUARONE 1/PONTE CAFFARO,,44.416245,8.935941,,,Via Acquarone,Genoa,Regione Liguria,16100
1334,ACQUARONE 2/FERRARI,,44.417355,8.937868,,,Via Acquarone,Genoa,Regione Liguria,16100
1335,ACQUARONE 3/CABRINI,,44.417900,8.938861,,,Via Acquarone,Genoa,Regione Liguria,16100
1336,CANCELLIERE 1/CAVALLO,,44.418842,8.937267,,,Via Oberto Cancelliere,Genoa,Regione Liguria,16100
1337,CANCELLIERE 2/PANE,,44.418102,8.936968,,,Via Oberto Cancelliere,Genoa,Regione Liguria,16100
1340,PIAGGIO 1/MARCO POLO,,44.419178,8.933073,,,Via Piaggio,Genoa,Regione Liguria,16100
1341,PIAGGIO 2/VILLA MARIA,,44.419746,8.934241,,,Via Piaggio,Genoa,Regione Liguria,16100
1342,PIAGGIO 3/,,44.420547,8.935608,,,Via Piaggio,Genoa,Regione Liguria,16100
1343,PIAGGIO 4/PREVE,,44.420284,8.934050,,,Via Piaggio,Genoa,Regione Liguria,16100
1344,PIAGGIO 5/SAN SIMONE,,44.421021,8.935993,,,Via Piaggio,Genoa,Regione Liguria,16100
1345,CHIODO 1/PIAGGIO,,44.420658,8.937866,,,Via Domenico Chiodo,Genoa,Regione Liguria,16100
1346,CHIODO 2/CAVALLO,,44.420147,8.939003,,,Via Domenico Chiodo,Genoa,Regione Liguria,16100
1347,CARTAGENOVA/CAPOLINEA,,44.465652,8.992176,,,Via San Felice,Genoa,Regione Liguria,16100
1348,SAN FELICE 1/CADEIA,,44.464237,8.992770,,,Via San Felice,Genoa,Regione Liguria,16100
1349,SAN FELICE 2/PERDONO,,44.461269,8.990126,,,Via San Felice,Genoa,Regione Liguria,16100
1350,SAN FELICE 3/MANEGGIO,,44.461391,8.988062,,,Via San Felice,Genoa,Regione Liguria,16100
1351,SAN FELICE 4/FONTANELLA,,44.460030,8.985192,,,Via San Felice,Genoa,Regione Liguria,16100
1352,SAN FELICE 5/OLIVO,,44.458744,8.984867,,,Via San Felice,Genoa,Regione Liguria,16100
1353,SAN FELICE 6/BRUGHE,,44.458839,8.982808,,,Via San Felice,Genoa,Regione Liguria,16100
1354,SAN FELICE 7/COTELLA SUPERIORE,,44.456985,8.982616,,,Via San Felice,Genoa,Regione Liguria,16100
1355,SAN FELICE 8/COTELLA INFERIORE,,44.456375,8.981753,,,Via San Felice,Genoa,Regione Liguria,16100
1356,SAN FELICE 9/ACACIE,,44.457359,8.980879,,,Via San Felice,Genoa,Regione Liguria,16100
1357,SAN FELICE 10/ARIZONA,,44.456795,8.980481,,,Via San Felice,Genoa,Regione Liguria,16100
1359,GEIRATO 2/BERNARDINI,,44.456577,8.978420,,,Via Geirato,Genoa,Regione Liguria,16100
1360,GEIRATO 3/PONTE SIFONE,,44.458427,8.978080,,,Via Geirato,Genoa,Regione Liguria,16100
1361,GEIRATO 4/SCUOLE,,44.459908,8.979416,,,Via Geirato,Genoa,Regione Liguria,16100
1362,GEIRATO 5/PASSERELLA,,44.462345,8.981414,,,Via Geirato,Genoa,Regione Liguria,16100
1363,GEIRATO 6/,,44.463371,8.983194,,,Via Geirato,Genoa,Regione Liguria,16100
